User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
how can i create stremlit app,"Mindfulness is the practice of being fully present in the moment, observing thoughts and feelings without judgment.",2024-12-06 09:46:47
what is dbms,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-06 09:47:24
hi' there,"I'm fine, thank you",2024-12-06 09:51:20
hi,Hello,2024-12-06 09:52:43
how are you,Hey,2024-12-06 09:52:52
hello,"I'm fine, thank you",2024-12-06 10:03:00
hello,Hi there,2024-12-06 10:04:15
how are you,Hi there,2024-12-06 10:04:59
how are you,Nothing much,2024-12-06 10:05:13
how do i create budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-12-06 10:05:51
Hi,Hello,2025-03-14 23:30:41
how to make a budget,"Mindfulness is the practice of being fully present in the moment, observing thoughts and feelings without judgment.",2025-03-14 23:30:50
